hash: 49afa94366b6ec4c shape: [[506, 435], [250, 419], [374, 199]]
hash: 49ec5c7cfd6cad7f shape: [[506, 435], [250, 419], [374, 199]]
hash: d949344528030209 shape: [[506, 435], [250, 419], [374, 199]]
hash: 494f255366b6ac4c shape: [[506, 435], [250, 419], [388, 189]]
hash: 49ec5c7c756c7c3b shape: [[506, 435], [250, 419], [388, 189]]
hash: d44a24252903030d shape: [[506, 435], [250, 419], [388, 189]]
hash: 95571983e6b62e4c shape: [[506, 435], [250, 419], [390, 217]]
hash: 48e4947c7d757c7c shape: [[506, 435], [250, 419], [390, 217]]
hash: d14e12522303010d shape: [[506, 435], [250, 419], [390, 217]]
hash: 458749b392f6eeac shape: [[506, 435], [250, 419], [414, 215]]
hash: 4966163a6a7676b7 shape: [[506, 435], [250, 419], [414, 215]]
hash: c25432242103010f shape: [[506, 435], [250, 419], [414, 215]]
hash: 07179933d5e6ca8c shape: [[506, 435], [250, 419], [419, 247]]
hash: 5a669a6e3aaa3e36 shape: [[506, 435], [250, 419], [419, 247]]
hash: c45353122602070f shape: [[506, 435], [250, 419], [419, 247]]
hash: 2b279973add6caac shape: [[506, 435], [250, 419], [438, 256]]
hash: 58625eb6ae3e3e1b shape: [[506, 435], [250, 419], [438, 256]]
hash: c46454016203050f shape: [[506, 435], [250, 419], [438, 256]]
hash: 5a4b8923cdd6ca8c shape: [[506, 435], [250, 419], [428, 267]]
hash: 5a62766aaebe2a3a shape: [[506, 435], [250, 419], [428, 267]]
hash: ea664c155100050f shape: [[506, 435], [250, 419], [428, 267]]
hash: 0a2f1943adc6ca4e shape: [[506, 435], [250, 419], [438, 279]]
hash: da62763ab6af1d3f shape: [[506, 435], [250, 419], [438, 279]]
hash: c16250155301050e shape: [[506, 435], [250, 419], [438, 279]]
hash: 92530387aded73ce shape: [[506, 435], [250, 419], [396, 329]]
hash: 5a49666eb63a4a2a shape: [[506, 435], [250, 419], [396, 329]]
hash: 64385b591445260d shape: [[506, 435], [250, 419], [396, 329]]
hash: e2415397ad9d33df shape: [[506, 435], [250, 419], [385, 343]]
hash: 5a494c64f63e164c shape: [[506, 435], [250, 419], [385, 343]]
hash: 226ccdd898052705 shape: [[506, 435], [250, 419], [385, 343]]
hash: 4155d74f1b3686ac shape: [[506, 435], [358, 407], [374, 199]]
hash: b0fd7ad47bf6aad5 shape: [[506, 435], [358, 407], [374, 199]]
hash: b3de56490912020b shape: [[506, 435], [358, 407], [374, 199]]
hash: 8b5557df5b16a68c shape: [[506, 435], [358, 407], [388, 189]]
hash: b0cf6e57f9f7726d shape: [[506, 435], [358, 407], [388, 189]]
hash: b29c5c4a09120308 shape: [[506, 435], [358, 407], [388, 189]]
hash: c5a5458b5b56068e shape: [[506, 435], [358, 407], [390, 217]]
hash: b05e3eaeacfbf5fa shape: [[506, 435], [358, 407], [390, 217]]
hash: cdd6560e12110209 shape: [[506, 435], [358, 407], [390, 217]]
hash: 9505959b1b56062c shape: [[506, 435], [358, 407], [414, 215]]
hash: b85ebb2e6c7c7a5b shape: [[506, 435], [358, 407], [414, 215]]
hash: cccc5c4d041b100c shape: [[506, 435], [358, 407], [414, 215]]
hash: 0e062dab9b97e66e shape: [[506, 435], [358, 407], [419, 247]]
hash: a85c562b6a6c7d7a shape: [[506, 435], [358, 407], [419, 247]]
hash: a5c5440a231a011e shape: [[506, 435], [358, 407], [419, 247]]
hash: 2e1a2d2b1b97a62a shape: [[506, 435], [358, 407], [438, 256]]
hash: a83c463bb7363e3c shape: [[506, 435], [358, 407], [438, 256]]
hash: cbda48092213000e shape: [[506, 435], [358, 407], [438, 256]]
hash: 4e4a2d2b33a7460a shape: [[506, 435], [358, 407], [428, 267]]
hash: a8384d3357662d7d shape: [[506, 435], [358, 407], [428, 267]]
hash: cbda4a002112001f shape: [[506, 435], [358, 407], [428, 267]]
hash: 4e4acd5b33e727ca shape: [[506, 435], [358, 407], [438, 279]]
hash: a8394d9d2bb3362e shape: [[506, 435], [358, 407], [438, 279]]
hash: d6d448052159080e shape: [[506, 435], [358, 407], [438, 279]]
hash: ce97959f9b96d61c shape: [[506, 435], [358, 407], [450, 195]]
hash: b86377372c9e0e87 shape: [[506, 435], [358, 407], [450, 195]]
hash: 88a858050611130d shape: [[506, 435], [358, 407], [450, 195]]
hash: c9458b4366b67e6c shape: [[506, 435], [228, 415], [374, 199]]
hash: 13ed5c747969bd7f shape: [[506, 435], [228, 415], [374, 199]]
hash: b0c5345528130309 shape: [[506, 435], [228, 415], [374, 199]]
hash: 09a72753e6d63eec shape: [[506, 435], [228, 415], [388, 189]]
hash: 53ed7cfc7d6c3dbf shape: [[506, 435], [228, 415], [388, 189]]
hash: a2e274442912010f shape: [[506, 435], [228, 415], [388, 189]]
hash: 95552bc3f7f67aec shape: [[506, 435], [228, 415], [390, 217]]
hash: 53edbc5c757d7c3d shape: [[506, 435], [228, 415], [390, 217]]
hash: b16432523309050f shape: [[506, 435], [228, 415], [390, 217]]
hash: 45975bb3e7b6fa6c shape: [[506, 435], [228, 415], [414, 215]]
hash: 536d143c7d34361c shape: [[506, 435], [228, 415], [414, 215]]
hash: e2484a542301010f shape: [[506, 435], [228, 415], [414, 215]]
hash: 27975b0bcdb6baac shape: [[506, 435], [228, 415], [419, 247]]
hash: 5265bc4cbc3e363e shape: [[506, 435], [228, 415], [419, 247]]
hash: ec4262507707070e shape: [[506, 435], [228, 415], [419, 247]]
hash: 2b079b03e566faee shape: [[506, 435], [228, 415], [438, 256]]
hash: 526554babe3a3a1a shape: [[506, 435], [228, 415], [438, 256]]
hash: c844505176010f0b shape: [[506, 435], [228, 415], [438, 256]]
hash: 3b0b2b63e5767aee shape: [[506, 435], [228, 415], [428, 267]]
hash: 5265746eaaba3a3a shape: [[506, 435], [228, 415], [428, 267]]
hash: e244505553010d0f shape: [[506, 435], [228, 415], [428, 267]]
hash: 0a2bb3276d67fa6e shape: [[506, 435], [228, 415], [438, 279]]
hash: 5265743ebe3e1e1e shape: [[506, 435], [228, 415], [438, 279]]
hash: c946545550010d0a shape: [[506, 435], [228, 415], [438, 279]]
hash: 92732b0fedef8b4f shape: [[506, 435], [228, 415], [396, 329]]
hash: 526b656c3c34ccbc shape: [[506, 435], [228, 415], [396, 329]]
hash: f0386bd914050d0e shape: [[506, 435], [228, 415], [396, 329]]
hash: 724b0213cc6fcbcf shape: [[506, 435], [228, 415], [385, 343]]
hash: 524b4d6d643c144c shape: [[506, 435], [228, 415], [385, 343]]
hash: e03c6dd999410606 shape: [[506, 435], [228, 415], [385, 343]]
hash: c9450b536636446c shape: [[506, 435], [230, 427], [374, 199]]
hash: 50ed5c746c69697f shape: [[506, 435], [230, 427], [374, 199]]
hash: a1e530150003030d shape: [[506, 435], [230, 427], [374, 199]]
hash: 49af2b4376f664cc shape: [[506, 435], [230, 427], [388, 189]]
hash: 52ed5cfc756c7d3a shape: [[506, 435], [230, 427], [388, 189]]
hash: e26a34050903050e shape: [[506, 435], [230, 427], [388, 189]]
hash: 95552b83c6f6acec shape: [[506, 435], [230, 427], [390, 217]]
hash: 50e5ac5c74757c7d shape: [[506, 435], [230, 427], [390, 217]]
hash: a1ec224a1309010e shape: [[506, 435], [230, 427], [390, 217]]
hash: 45d75b93eeb62c8c shape: [[506, 435], [230, 427], [414, 215]]
hash: 50651c3c7c3c3496 shape: [[506, 435], [230, 427], [414, 215]]
hash: e24c22141301010e shape: [[506, 435], [230, 427], [414, 215]]
hash: 27b75b07aee6f4cc shape: [[506, 435], [230, 427], [419, 247]]
hash: 5065b47cbe2a363e shape: [[506, 435], [230, 427], [419, 247]]
hash: e4c30b501707070f shape: [[506, 435], [230, 427], [419, 247]]
hash: 2b2bab274e66f44c shape: [[506, 435], [230, 427], [438, 256]]
hash: 526474beae3e3e1a shape: [[506, 435], [230, 427], [438, 256]]
hash: c8c0485510010d0b shape: [[506, 435], [230, 427], [438, 256]]
hash: 7b4f2367ef6ee64c shape: [[506, 435], [230, 427], [428, 267]]
hash: 526d746eaa3e2a3a shape: [[506, 435], [230, 427], [428, 267]]
hash: e2c4145513010d0f shape: [[506, 435], [230, 427], [428, 267]]
hash: 0a2b3387cfeeeecc shape: [[506, 435], [230, 427], [438, 279]]
hash: 526b7e3ebe2e1e1e shape: [[506, 435], [230, 427], [438, 279]]
hash: c9aa545510010d0b shape: [[506, 435], [230, 427], [438, 279]]
hash: 9223a393ed8f969e shape: [[506, 435], [230, 427], [396, 329]]
hash: 524a4c65b414ccbe shape: [[506, 435], [230, 427], [396, 329]]
hash: 70bb69595405040f shape: [[506, 435], [230, 427], [396, 329]]
hash: e24b0351cd67d65e shape: [[506, 435], [230, 427], [385, 343]]
hash: 525a4b65ec3c544c shape: [[506, 435], [230, 427], [385, 343]]
hash: 708cad5959032607 shape: [[506, 435], [230, 427], [385, 343]]
